Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
52,1622,DRUM,A CHINA,211,2,0,0,0,2,1,6,0,8,9,0,0,0,0,0,1
36,1623,CONDUCTOR,A CHINA,600000000,0,0,0,0,3,1,5,4,1,10,14,0,0,0,0,1
32,1606,IDIOPHONE,A CHINA,112212,3,0,0,7,3,1,7,2,4,1,0,1,0,1,0,1
29,1597,BELL,A CHINA,111242121,3,0,0,4,3,1,8,1,1,0,0,0,1,1,0,1
28,1600,LITHOPHONE,A CHINA,111221,3,6,0,6,3,1,7,2,1,4,0,0,1,1,0,1
27,1601,GONG,A CHINA,1112411,27,0,0,2,3,1,7,3,8,3,1,0,1,1,0,1
26,1604,CYMBAL,A CHINA,111142,0,0,0,0,3,1,6,2,13,1,0,0,0,6,0,1
26,1608,PERCUSSION TUBE,A CHINA,11123,4,0,0,0,2,2,1,2,9,6,0,0,0,6,0,1
26,1607,CASTANET,A CHINA,111141,3,0,0,3,3,1,7,3,1,10,4,0,0,6,0,1
29,1603,BELL,A CHINA,111242122,3,0,0,1,3,1,7,3,8,10,9,0,0,6,0,1
45,1620,DRUM,A CHINA,21125,2,0,4,6,3,1,6,3,1,4,9,0,1,1,1,1
21,1612,PANPIPE,A CHINA,42111211,0,5,0,6,3,1,7,1,1,0,0,1,6,1,1,1
22,1613,MOUTH ORGAN,A CHINA,412132,0,10,0,3,2,1,6,3,4,1,16,1,7,6,1,1
13,1611,CONCH,A CHINA,4231111,0,10,0,1,2,1,7,1,8,9,0,0,1,6,2,1
20,1616,FLUTE,A CHINA,42111112,27,10,0,3,3,1,6,3,10,1,4,0,6,6,2,1
20,1617,FLUTE,A CHINA,42112112,27,11,0,2,3,1,6,4,1,5,6,0,6,6,2,1
20,1618,FLUTE,A CHINA,42112112,27,11,0,3,2,1,6,1,1,0,0,1,6,6,2,1
24,1614,OCARINA,A CHINA,42122141,0,10,0,1,2,1,7,1,1,0,0,6,6,6,2,1
17,1615,CLARINET,A CHINA,4222112,27,10,0,4,2,1,6,2,1,4,0,0,7,6,2,1
47,1621,FRAME DRUM,A CHINA,21132,2,0,9,2,3,1,6,1,1,8,0,0,1,1,4,1
26,1605,TROUGH,A CHINA,11113,3,0,0,5,3,1,7,2,1,4,0,0,1,16,4,1
7,1609,ZITHER,A CHINA,31222,17,7,0,7,4,1,6,3,15,4,1,0,6,16,4,1
43,1619,DRUM,A CHINA,211222,2,0,1,3,3,1,6,1,1,0,0,0,7,5,5,1
10,1610,GUITAR,A CHINA,321322,17,7,0,6,4,1,6,2,11,1,4,0,7,12,5,1
28,1599,LITHOPHONE,A CHINA,111222,3,6,0,3,3,1,7,2,1,4,0,0,1,1,12,1
29,1598,BELL SET,A CHINA,11124222,4,0,0,1,3,1,8,2,1,4,0,0,1,1,12,1
27,1602,GONG SET,A CHINA,1112412,3,6,0,2,3,1,7,4,4,11,1,9,1,1,12,1
27,904,GONG,ABELAM,1112411,43,0,0,2,2,1,1,4,8,1,3,0,0,0,0,1
13,902,HORN,ABELAM,4231211,0,0,0,8,2,2,1,3,3,1,15,0,2,6,0,1
44,901,DRUM,ABELAM,211241,5,0,0,0,2,1,1,4,1,10,3,0,1,6,4,1
31,905,RATTLE,ABELAM,112122,3,0,0,1,6,2,1,4,1,11,3,0,1,6,8,1
26,903,STICK,ABELAM,11121,4,0,0,6,2,1,1,3,3,1,15,0,5,16,9,1
33,72,JEWS HARP,AINU,1211,0,0,0,0,6,3,1,1,15,0,0,0,0,4,2,1
7,73,ZITHER,AINU,3141,16,7,0,6,6,2,1,2,15,16,0,0,4,14,4,1
25,1595,STAMP TUBE,AINU,413,0,0,0,0,2,0,0,2,1,10,0,0,2,6,10,1
11,634,LYRE,AMHARA,32122,17,0,0,6,0,2,7,0,0,0,0,0,0,0,0,1
43,1493,DRUM,AMHARA,211222,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
40,639,DRUM,AMHARA,21111,61,0,0,0,0,4,1,2,14,0,0,0,0,0,0,1
10,1492,FIDDLE,AMHARA,321322,0,9,0,0,2,1,0,2,10,11,0,0,0,0,0,1
10,1491,LUTE,AMHARA,321322,0,7,0,0,5,1,0,2,10,11,0,0,0,0,0,1
11,1499,LYRE,AMHARA,3212,16,0,0,5,0,0,0,3,1,14,16,0,0,0,0,1
28,1496,LITHOPHONE,AMHARA,111222,0,0,0,0,0,3,0,2,1,8,0,0,0,1,0,1
43,640,DRUM,AMHARA,21122,61,0,1,7,4,1,1,2,1,10,0,0,6,2,0,1
31,1497,RATTLE,AMHARA,112112,0,0,0,0,0,2,0,1,1,0,0,0,0,6,0,1
40,1494,DRUM,AMHARA,211222,61,0,1,8,0,1,0,4,1,9,14,0,0,15,0,1
20,637,PIPE,AMHARA,42111,0,10,0,0,3,1,1,0,10,0,0,0,0,6,1,1
21,1500,FLUTE,AMHARA,421112,0,10,0,0,0,0,0,3,16,10,1,0,0,6,2,1
20,1495,FLUTE,AMHARA,421,0,0,0,0,9,1,0,3,10,5,16,0,0,6,2,1
13,1498,TRUMPET,AMHARA,4231211,0,11,0,0,0,3,0,1,8,0,0,0,1,6,2,1
20,638,FLUTE,AMHARA,421111,27,10,0,0,2,1,1,0,7,10,0,0,1,6,4,1
11,633,LYRE,AMHARA,32121,17,7,0,5,4,1,7,2,0,4,0,0,6,9,4,1
27,636,GONG,AMHARA,111222,0,0,0,6,2,4,1,1,1,0,0,0,1,1,5,1
10,632,FIDDLE,AMHARA,321322,17,9,0,5,2,1,1,0,1,10,0,0,6,15,5,1
31,635,SISTRUM,AMHARA,112112,3,0,0,1,2,2,8,1,1,0,0,0,9,6,12,1
53,962,DRUM,ANCIENTGREECE,211,0,0,1,0,6,2,7,0,0,0,0,0,0,0,0,1
47,963,FRAME DRUM,ANCIENTGREECE,211312,0,0,1,0,6,2,7,1,1,0,0,0,0,0,0,1
26,961,CLAPPER,ANCIENTGREECE,11114,4,0,1,2,6,2,7,2,1,10,0,0,1,6,0,1
26,960,CYMBAL,ANCIENTGREECE,111142,4,0,1,1,6,2,7,1,2,10,0,0,1,6,0,1
18,966,OBOE,ANCIENTGREECE,422121,0,10,0,3,3,2,7,3,11,15,16,0,7,6,0,1
21,967,PANPIPE,ANCIENTGREECE,42111211,0,10,0,0,3,2,7,0,15,0,0,0,1,6,2,1
13,964,TRUMPET,ANCIENTGREECE,42312112,0,10,0,7,2,2,7,3,8,11,9,0,1,6,2,1
12,965,HARP,ANCIENTGREECE,32211,0,7,0,0,5,2,7,0,0,0,0,0,1,7,3,1
11,969,LYRE,ANCIENTGREECE,32122,17,7,1,4,5,1,7,2,15,16,0,0,1,7,4,1
11,968,LYRE,ANCIENTGREECE,32121,0,7,1,6,3,1,7,3,15,16,11,0,8,15,9,1
47,1217,FRAME DRUM,ANDALUCIA,211311,0,0,0,2,5,1,1,2,10,12,11,0,2,6,1,1
26,1211,CASTANET,ANDALUCIA,111141,3,8,0,1,4,1,1,3,10,11,12,0,2,6,1,1
17,1220,CLARINET,ANDALUCIA,422212,28,10,0,3,2,2,5,2,16,10,0,0,1,6,2,1
15,1218,TROMBONE,ANDALUCIA,42322,0,10,0,7,2,2,6,2,12,9,1,0,1,6,2,1
15,1219,TRUMPET,ANDALUCIA,42312122,0,10,0,2,2,1,1,4,12,9,1,0,1,6,2,1
