Instrument_#,I-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Instrument_Name,Alt_Instrument_Names,Sachs_Number,Sachs_Suffix,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
31,1,PAPAGO,23420,,RATTLE,Cakot,11213,3,,"Densmore, F. (1929). Papago Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 3, 91, pl. 15",,@Densmore1929PapagoMusic  ,
32,2,PAPAGO,23420,,SCRAPE STICK,Hiohkat,11221,4,,"Densmore, F. (1929). Papago Music. Washington, D.C.: U.S. Government Publishing Office.","Densmore, 3, pl. 7",,@Densmore1929PapagoMusic  ,
32,3,PAPAGO,23420,,BASKET-DRUM,Tamoa,11125,3,,"Densmore, F. (1929). Papago Music. Washington, D.C.: U.S. Government Publishing Office.",,,@Densmore1929PapagoMusic  ,
20,4,PAPAGO,23420,,FLUTE,,42111112,27,,"Densmore, F. (1929). Papago Music. Washington, D.C.: U.S. Government Publishing Office.",,,@Densmore1929PapagoMusic  ,
32,5,PAPAGO,23420,,SCRAPE BASKET,,11123,0,,"Densmore, F. (1929). Papago Music. Washington, D.C.: U.S. Government Publishing Office.",,,@Densmore1929PapagoMusic  ,
27,6,JAVA,17557,,GONG AGENG,Ageng,1112412,3,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 424, ill. 64",,@Kunst1949MusicinJavaII  ,
27,7,JAVA,,Refers specifically to Central Java,GONG SUWUKAN,Suwukan,1112412,3,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 424, ill. 65",,@Kunst1949MusicinJavaII  ,
27,8,JAVA,,Refers specifically to Central Java,GONG KEMPUL,Kempul,1112412,3,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 424, ill. 65",,@Kunst1949MusicinJavaII  ,
27,9,JAVA,17557,,GONG SET,Kemong,1112412,3,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 424, ill. 65",,@Kunst1949MusicinJavaII  ,
27,10,JAVA,,Refers specifically to Central Java,GONG SET,Penontong,1112412,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 150",,@Kunst1949MusicinJavaI  ,
27,11,JAVA,17557,,GONG,Beri,111241,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 150",,@Kunst1949MusicinJavaI  ,
27,12,JAVA,17557,,GONG SET,,1112412,3,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 152",,@Kunst1949MusicinJavaI  ,
27,13,JAVA,17557,,GONG SET,Bonang,1112412,4,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 424",,@Kunst1949MusicinJavaII  ,
28,14,JAVA,17557,,METALLOPHONE,Saron,111222,4,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 425",,@Kunst1949MusicinJavaII  ,
28,15,JAVA,17557,,METALLOPHONE,Gender,111222,5,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 175",,@Kunst1949MusicinJavaI  ,
26,16,JAVA,17557,,KEMANAK,,1111,4,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 180",,@Kunst1949MusicinJavaI  ,
31,17,JAVA,17557,,RATTLE,Kechrek,112,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 190",,@Kunst1949MusicinJavaI  ,
26,18,JAVA,17557,,CLAPPER,,11114,0,Made of bone. Used with incense (?),"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 190",,@Kunst1949MusicinJavaI  ,
30,19,JAVA,17557,,SLIT DRUM,Kentongan; Tetekan,111231,3,Tetekan = bamboo,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 195",,@Kunst1949MusicinJavaI  ,
30,20,JAVA,17557,,RICE BLOCK,,1112,6,Used on moonlit nights and at eclipses; also spiritualist meanings (?),"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 194",,@Kunst1949MusicinJavaI  ,
33,21,JAVA,17557,,JEWS HARP,Rinding,1212,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 200",,@Kunst1949MusicinJavaI  ,
6,22,JAVA,17557,,KOWANGAN,,3@1221,16,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 200",,@Kunst1949MusicinJavaI  ,"An approximation, unique instrument"
28,23,JAVA,17557,,XYLOPHONE,Anklung,111232,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 430",,@Kunst1949MusicinJavaII  ,
28,24,JAVA,17557,,XYLOPHONE,Chalung,111232,4,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 430",,@Kunst1949MusicinJavaII  ,
43,25,JAVA,17557,,DRUM,Penuntung,2112511,7,"Large drumhead sometimes made from skin of she-goat, small drumhead made from skin of he-goat.","Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 203",,@Kunst1949MusicinJavaI  ,
30,26,JAVA,17557,,DRUM,Kendang chiblon,21122,7,,,,,,Source not found
43,27,JAVA,17557,,DRUM,Bedug,211222,2,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 431",,@Kunst1949MusicinJavaII  ,
45,28,JAVA,17557,,DRUM,Terbang,2112511,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 440",,@Kunst1949MusicinJavaII  ,
48,29,JAVA,17557,,DRUM,,212322,1,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 433",,@Kunst1949MusicinJavaII  ,
48,30,BALI,11507,,DRUM,,212322,1,Exorcism,"Kunst, J. (1949). Music in Java, Vol. 1 and 2. The Hague: Nijhoff.","Kunst, 219",,@Kunst1949MusicinJavaI @Kunst1949MusicinJavaII  ,
10,31,JAVA,17557,,REBAB,,321311,18,"The strings of the rebab: one called male, the other called female, together they are called the bridal couple!","Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 220",,@Kunst1949MusicinJavaI  ,
6,32,JAVA,17557,,ZITHER,Chelempung,31222,16,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 427",,@Kunst1949MusicinJavaII  ,
6,33,JAVA,17557,,IDIOCHORD,Gumbeng,31211,16,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 229",,@Kunst1949MusicinJavaI  ,
6,34,JAVA,17557,,IDIOCHORD,Gumbeng,31211,15,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 229",,@Kunst1949MusicinJavaI  ,
7,35,JAVA,17557,,ZITHER,Tiduran,3152,15,Ground zither,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 223",,@Kunst1949MusicinJavaI  ,
20,36,JAVA,17557,,FLUTE,Sulung,42111112,27,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 235",,@Kunst1949MusicinJavaI  ,
20,37,JAVA,17557,,FLUTE,Sulung reug,42111112,27,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 237",,@Kunst1949MusicinJavaI  ,
20,38,JAVA,17557,,FLUTE,,42112112,27,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 240",,@Kunst1949MusicinJavaI  ,
18,39,JAVA,17557,,SHAWM,Selompiet,422112,27,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 238",,@Kunst1949MusicinJavaI  ,
17,40,JAVA,17557,,CLARINET,Puwi-puwi,422212,27,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 239",,@Kunst1949MusicinJavaI  ,
25,41,JAVA,17557,,BULLROARER,,41222,0,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 240",,@Kunst1949MusicinJavaI  ,
24,42,JAVA,,Refers specifically to Central Java,OCARINA,Susurilitan,42122142,27,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 241",,@Kunst1949MusicinJavaII  ,
33,43,JAVA,12365,Refers specifically to Sundanese region,JEWS HARP,,12212,41,,"Kunst, J. (1949). Music in Java, Vol. 1. The Hague: Nijhoff.","Kunst, 360",,@Kunst1949MusicinJavaI  ,
31,44,JAVA,17557,,ANKLUNG,,112122,0,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 448",,@Kunst1949MusicinJavaII  ,
28,45,JAVA,12365,Refers specifically to Sundanese region,XYLOPHONE,,111231,4,,"Kunst, J. (1949). Music in Java, Vol. 2. The Hague: Nijhoff.","Kunst, 444",,@Kunst1949MusicinJavaII  ,
